time,open,high,low,close,volume
2024-06-05,21.8,21.95,21.65,21.76,19207537
2024-06-06,21.76,22.06,21.5,21.8,20837091
2024-06-07,21.83,21.87,21.65,21.8,14893390
2024-06-10,21.87,21.91,21.69,21.8,20270733
2024-06-11,21.87,22.06,21.61,21.65,27003982
2024-06-12,21.57,22.02,21.57,22.02,19295443
2024-06-13,22.06,22.09,21.8,21.95,20563088
2024-06-14,21.95,22.28,21.65,21.65,34310393
2024-06-17,21.65,22.28,21.57,21.91,34389484
2024-06-18,21.95,22.09,21.87,21.87,16545599
2024-06-19,21.95,21.98,21.76,21.83,19187496
2024-06-20,21.76,21.87,21.54,21.83,27788213
2024-06-21,21.83,21.83,21.57,21.61,14297102
2024-06-24,21.57,21.65,21.02,21.35,37872553
2024-06-25,21.28,21.61,21.2,21.35,16665373
2024-06-26,21.39,21.72,21.28,21.5,19757460
2024-06-27,21.57,21.61,21.35,21.46,10087714
2024-06-28,21.39,21.5,21.05,21.05,22218009
2024-07-01,21.05,21.2,20.87,21.09,13583269
2024-07-02,21.09,21.46,21.02,21.35,21287052
2024-07-03,21.57,21.65,21.35,21.39,17279452
2024-07-04,21.46,21.61,21.28,21.35,9370324
2024-07-05,21.35,21.54,21.28,21.31,12379504
2024-07-08,21.35,21.61,21.31,21.42,18453505
2024-07-09,21.42,21.72,21.39,21.57,22579018
2024-07-10,21.65,21.95,21.54,21.54,31001479
2024-07-11,21.69,21.76,21.46,21.46,14527557
2024-07-12,21.5,21.54,21.16,21.2,18069224
2024-07-15,21.24,21.39,20.98,21.16,16310035
2024-07-16,21.2,21.31,21.13,21.16,12341155
2024-07-17,21.24,21.28,20.53,20.98,25573686
2024-07-18,20.98,21.16,20.87,21.13,20492770
2024-07-19,21.13,21.13,20.98,20.98,11877885
2024-07-22,20.9,20.98,20.64,20.87,18424118
2024-07-23,20.87,20.98,20.68,20.68,15071448
2024-07-24,20.64,20.79,20.16,20.61,19254395
2024-07-25,20.53,20.57,20.31,20.35,13334622
2024-07-26,20.35,20.57,20.35,20.42,8818384
2024-07-29,20.57,20.9,20.53,20.76,15458145
2024-07-30,20.83,20.98,20.76,20.76,15553762
2024-07-31,20.76,20.76,20.16,20.23,24314481
2024-08-01,20.46,20.57,19.79,19.86,30510117
2024-08-02,19.83,20.31,19.71,20.27,17560447
2024-08-05,19.94,19.97,19.19,19.3,45645266
2024-08-06,19.38,19.68,19.23,19.57,19776551
2024-08-07,19.68,19.68,19.3,19.38,15426972
2024-08-08,19.3,19.42,19.01,19.04,21940263
2024-08-09,19.27,19.42,19.12,19.38,12134942
2024-08-12,19.38,19.42,19.12,19.23,12589646
2024-08-13,19.27,19.3,18.75,18.9,26271625
2024-08-14,18.97,19.12,18.82,18.93,13709893
2024-08-15,18.93,18.93,18.75,18.75,16250512
2024-08-16,18.75,19.12,18.6,19.04,36348653
2024-08-19,19.19,19.6,19.12,19.23,24443930
2024-08-20,19.34,19.49,19.19,19.19,20465987
2024-08-21,19.23,19.53,19.19,19.45,24826883
2024-08-22,19.49,19.53,19.12,19.16,24051112
2024-08-23,19.16,19.38,18.9,19.38,22423963
2024-08-26,19.45,19.64,19.3,19.34,21660542
2024-08-27,19.34,19.38,19.12,19.16,12463767
2024-08-28,19.23,19.3,19.08,19.12,18668043
2024-08-29,19.19,19.3,19.04,19.04,16174288
2024-08-30,19.12,19.16,18.97,18.97,17977045
2024-09-04,18.82,18.93,18.67,18.78,19080426
2024-09-05,18.86,18.86,18.6,18.64,22584753
2024-09-06,18.64,18.9,18.41,18.9,22872838
2024-09-09,18.9,19.49,18.82,19.04,32665005
2024-09-10,19.16,19.23,18.71,18.71,15034285
